"Abi Ajoku",,,,
"Alexander Elias",,,,
"David Goss",,,,
"David Jones","Q98357540","2003 Northern Ireland Assembly election","Upper Bann","independent politician"
"David Jones","Q728167","2005 United Kingdom general election","Clwyd West",
"David Jones","Q728167","2010 United Kingdom general election","Clwyd West",
"David Jones","Q728167","2015 United Kingdom general election","Clwyd West",
"David Jones","Q98357540","2016 Northern Ireland Assembly election","Upper Bann","UK Independence Party"
"David Jones","Q70264105","2016 Salford City Council election in Broughton","Broughton",
"David Jones","Q70264105","2016 Salford City Council election in Broughton","Broughton","Green Party of England and Wales"
"David Jones","Q728167","2017 United Kingdom general election","Clwyd West",
"David Jones","Q70264105","2018 Salford City Council election in Broughton","Broughton",
"David Jones","Q70264105","2018 Salford City Council election in Broughton","Broughton","Green Party of England and Wales"
"David Jones","Q70264105","2019 Salford City Council election in Broughton","Broughton",
"David Jones","Q70264105","2019 Salford City Council election in Broughton","Broughton","Green Party of England and Wales"
"David Jones","Q728167","2019 United Kingdom general election","Clwyd West","Conservative Party"
"David Jones","Q70264105","2019 United Kingdom general election","Blackley and Broughton","Green Party of England and Wales"
"Derek Adams",,,,
"Iain Donaldson","Q56722866","2018 Manchester City Council election in Gorton & Abbey Hey","Gorton & Abbey Hey",
"Iain Donaldson","Q56722866","2018 Manchester City Council election in Gorton & Abbey Hey","Gorton & Abbey Hey","Liberal Democrats"
"Iain Donaldson","Q56722866","2019 United Kingdom general election","Blackley and Broughton","Liberal Democrats"
"James Buckley",,,,
"James Edsberg",,,,
"Kay Phillips",,,,
"Martin Power","Q56737924","2016 Manchester City Council by-election in Higher Blackley","Higher Blackley","UK Independence Party"
"Martin Power","Q56737924","2018 Manchester City Council election in Miles Platting & Newton Heath","Miles Platting & Newton Heath","UK Independence Party"
"Martin Power","Q56737924","2019 United Kingdom general election","Denton and Reddish","Brexit Party"
"Michelle Tanfield-Johnson",,,,
"Richard Gadsden",,,,
"Robert Willescroft",,,,
"Shafiq uz Zaman",,,,
"William Hobhouse",,,,
