foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q328737,Graham Stringer,Q9630,Labour Party (UK),23887,Q30173038,General election 2019,1
,,Alexander Elias,Q9626,Conservative Party (UK),9485,Q30173038,General election 2019,2
,,James Buckley,Q61651140,Brexit Party,2736,Q30173038,General election 2019,3
Q56722866,,Iain Donaldson,Q9624,Liberal Democrats (UK),1590,Q30173038,General election 2019,4
Q70264105,,David Jones,Q9669,Green Party of England and Wales,920,Q30173038,General election 2019,5
,Q328737,Graham Stringer,Q9630,Labour Party (UK),28258,Q25052149,General election 2017,1
,,David Goss,Q9626,Conservative Party (UK),8657,Q25052149,General election 2017,2
Q56737924,,Martin Power,Q10647,UKIP,1825,Q25052149,General election 2017,3
,,Richard Gadsden,Q9624,Liberal Democrats (UK),737,Q25052149,General election 2017,4
Q70264105,,David Jones,Q9669,Green Party of England and Wales,462,Q25052149,General election 2017,5
,,Abi Ajoku,Q5110023,Christian Peoples Alliance,174,Q25052149,General election 2017,6
,Q328737,Graham Stringer,Q9630,Labour Party (UK),22982,Q3586935,General election 2015,1
Q56737924,,Martin Power,Q10647,UK Independence Party,6108,Q3586935,General election 2015,2
,,Michelle Tanfield-Johnson,Q9626,Conservative Party (UK),5581,Q3586935,General election 2015,3
Q70264105,,David Jones,Q9669,Green Party of England and Wales,1567,Q3586935,General election 2015,4
,,Richard Gadsden,Q9624,Liberal Democrats (UK),874,Q3586935,General election 2015,5
,Q328737,Graham Stringer,Q9630,Labour Party (UK),18563,Q215622,General election 2010,1
,,James Edsberg,Q9626,Conservative Party (UK),6260,Q215622,General election 2010,2
,,William Hobhouse,Q9624,Liberal Democrats (UK),4861,Q215622,General election 2010,3
,,Derek Adams,Q161269,British National Party,2469,Q215622,General election 2010,4
,,Kay Phillips,Q287031,Respect Party,996,Q215622,General election 2010,5
,,Robert Willescroft,Q10647,UK Independence Party,894,Q215622,General election 2010,6
,,Shafiq uz Zaman,Q3402978,Christian Party (UK),161,Q215622,General election 2010,7
